start_station_name,lat,lon
Damen Ave & Cullerton St,41.854966518753926,-87.67569959163664
Racine Ave & Belmont Ave,41.93973166666667,-87.65885983333334
Pine Grove Ave & Waveland Ave,41.94947274088333,-87.64645278453827
Marine Dr & Ainslie St,41.9716,-87.650154
Michigan Ave & Lake St,41.886024,-87.624117
Canal St & Jackson Blvd,41.876867294,-87.639620185
Central St & Girard Ave,42.064313,-87.686152
Desplaines St & Kinzie St,41.888616681,-87.644522667
Wells St & Walton St,41.89993001,-87.63443007
Halsted St & Polk St,41.87184,-87.64664
Morgan St & 18th St,41.858086,-87.651073
Michigan Ave & Oak St,41.9008708,-87.623685956
Western Ave & Monroe St,41.8797915,-87.68609766666667
Christiana Ave & Lawrence Ave,41.96835449363,-87.7118306675
Kedzie Ave & Leland Ave,41.96668636205,-87.7080519806
Damen Ave & Clybourn Ave,41.93182733333333,-87.6777705
Central Park Ave & Elbridge Ave,41.93533728263,-87.7168892935
Bernard St & Elston Ave,41.94996183333333,-87.71397116666667
Ashland Ave & Wellington Ave,41.936108833333336,-87.66996916666666
St. Louis Ave & Fullerton Ave,41.92481559681187,-87.71449506282805
Wells St & Polk St,41.872609854,-87.633718133
Vernon Ave & 79th St,41.75094,-87.61379
Drake Ave & Montrose Ave,41.96115407569,-87.7165690733
Valli Produce - Evanston Plaza,42.039742,-87.699413
DuSable Lake Shore Dr & Wellington Ave,41.9367135,-87.636847
California Ave & Byron St,41.952163,-87.698078
California Ave & Winona St,41.97,-87.7
Broadway & Belmont Ave,41.94012433333333,-87.64554416666667
Cottage Grove Ave & 43rd St,41.816499,-87.606582
Lamon Ave & Belmont Ave,41.94,-87.75
Pulaski Rd & Eddy St (Temp),41.946264,-87.731023
Wacker Dr & Washington St,41.883501,-87.63743283333334
Calumet Ave & 21st St,41.85418424947,-87.6191537415
South Shore Dr & 74th St,41.76218896038,-87.55927465
Humboldt Blvd & Armitage Ave,41.91755616666666,-87.7019245
Artesian Ave & Hubbard St,41.889500737,-87.688108683
Ravenswood Ave & Berteau Ave,41.95793879,-87.673596978
Indiana Ave & 26th St,41.845687,-87.622481
Clark St & Schiller St,41.9080915,-87.6315355
Dorchester Ave & 63rd St,41.7804056457,-87.5914159893
Warren Park East,42.00454962194,-87.6806661451
Kedzie Ave & George St,41.93,-87.71
Southport Ave & Wrightwood Ave,41.928838166666665,-87.66384283333333
Central Park Ave & North Ave,41.90965687563,-87.7166319516
Leavitt St & Armitage Ave,41.917805,-87.682437
Lincoln Ave & Waveland Ave,41.948790669,-87.675218463
Mason Ave & Belmont Ave,41.94,-87.77
Shields Ave & 31st St,41.83850966666667,-87.63539633333333
63rd St Beach,41.78091096424803,-87.57632374763489
California Ave & Montrose Ave,41.961154666666665,-87.69542666666666
Lake Park Ave & 35th St,41.83127423549,-87.6087991946
Southport Ave & Roscoe St,41.943739,-87.66402
Greenwood Ave & 47th St,41.809835,-87.599383
Lincoln Ave & Roscoe St,41.94377883333333,-87.67117833333333
Drake Ave & Addison St,41.947326,-87.717582
Springfield Ave & 47th St,41.81,-87.72
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848
Hampden Ct & Diversey Ave,41.93,-87.64
Dayton St & North Ave,41.9105780349,-87.6494219288
Richmond St & Lincoln Ave,41.99,-87.7
Larrabee St & Armitage Ave,41.918084,-87.643749
